ID,Temp,Resistance
1,-55,486.088
2,-54,456.961
3,-53,429.745
4,-52,404.308
5,-51,380.522
6,-50,358.274
7,-49,337.457
8,-48,317.97
9,-47,299.723
10,-46,282.63
11,-45,266.612
12,-44,251.597
13,-43,237.516
14,-42,224.306
15,-41,211.91
16,-40,200.272
17,-39,189.343
18,-38,179.075
19,-37,169.425
20,-36,160.353
21,-35,151.82
22,-34,143.793
23,-33,136.238
24,-32,129.125
25,-31,122.426
26,-30,116.115
27,-29,110.166
28,-28,104.558
29,-27,99.269
30,-26,94.279
31,-25,89.57
32,-24,85.123
33,-23,80.925
34,-22,76.958
35,-21,73.209
36,-20,69.665
37,-19,66.314
38,-18,63.144
39,-17,60.144
40,-16,57.304
41,-15,54.615
42,-14,52.069
43,-13,49.656
44,-12,47.369
45,-11,45.201
46,-10,43.144
47,-9,41.194
48,-8,39.343
49,-7,37.586
50,-6,35.917
51,-5,34.333
52,-4,32.827
53,-3,31.396
54,-2,30.036
55,-1,28.743
56,0,27.513
57,1,26.342
58,2,25.228
59,3,24.167
60,4,23.158
61,5,22.196
62,6,21.279
63,7,20.406
64,8,19.573
65,9,18.779
66,10,18.016
67,11,17.299
68,12,16.61
69,13,15.952
70,14,15.323
71,15,14.723
72,16,14.15
73,17,13.602
74,18,13.079
75,19,12.578
76,20,12.099
77,21,11.642
78,22,11.204
79,23,10.785
80,24,10.384
81,25,10
82,26,9.632
83,27,9.28
84,28,8.942
85,29,8.619
86,30,8.309
87,31,8.012
88,32,7.727
89,33,7.453
90,34,7.191
91,35,6.94
92,36,6.698
93,37,6.467
94,38,6.244
95,39,6.03
96,40,5.825
97,41,5.628
98,42,5.438
99,43,5.256
100,44,5.081
101,45,4.913
102,46,4.751
103,47,4.595
104,48,4.445
105,49,4.301
106,50,4.168
107,51,4.029
108,52,3.9
109,53,3.776
110,54,3.657
111,55,3.542
112,56,3.431
113,57,3.324
114,58,3.222
115,59,3.122
116,60,3.027
117,61,2.934
118,62,2.845
119,63,2.76
120,64,2.677
121,65,2.597
122,66,2.52
123,67,2.445
124,68,2.373
125,69,2.304
126,70,2.237
127,71,2.172
128,72,2.109
129,73,2.049
130,74,1.99
131,75,1.934
132,76,1.879
133,77,1.826
134,78,1.775
135,79,1.725
136,80,1.678
137,81,1.631
138,82,1.586
139,83,1.543
140,84,1.501
141,85,1.461
142,86,1.421
143,87,1.383
144,88,1.346
145,89,1.31
146,90,1.276
147,91,1.242
148,92,1.21
149,93,1.178
150,94,1.147
151,95,1.118
152,96,1.089
153,97,1.061
154,98,1.034
155,99,1.008
156,100,0.983
157,101,0.958
158,102,0.934
159,103,0.911
160,104,0.888
161,105,0.866
162,106,0.845
163,107,0.824
164,108,0.804
165,109,0.785
166,110,0.766
167,111,0.747
168,112,0.729
169,113,0.712
170,114,0.695
171,115,0.679
172,116,0.663
173,117,0.647
174,118,0.632
175,119,0.618
176,120,0.603
177,121,0.589
178,122,0.576
179,123,0.563
180,124,0.55
181,125,0.538
